,drug_id,drug_name,drug_group,target_id,target_name,target_symbol,target_organ
102,DB00031,Tenecteplase,['approved'],BE0001011,Calnexin,CANX,Humans
103,DB00031,Tenecteplase,['approved'],BE0002110,Prolow-density lipoprotein receptor-related protein 1,LRP1,Humans
104,DB00032,Menotropins,['approved'],BE0000387,Follicle-stimulating hormone receptor,FSHR,Humans
105,DB00032,Menotropins,['approved'],BE0000134,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
106,DB00033,Interferon gamma-1b,"['approved', 'investigational']",BE0000711,Interferon gamma receptor 1,IFNGR1,Humans
107,DB00033,Interferon gamma-1b,"['approved', 'investigational']",BE0000467,Interferon gamma receptor 2,IFNGR2,Humans
108,DB00034,Interferon alfa-2a,"['approved', 'investigational']",BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
109,DB00034,Interferon alfa-2a,"['approved', 'investigational']",BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
110,DB00035,Desmopressin,['approved'],BE0000293,Vasopressin V2 receptor,AVPR2,Humans
111,DB00035,Desmopressin,['approved'],BE0000165,Vasopressin V1a receptor,AVPR1A,Humans
112,DB00035,Desmopressin,['approved'],BE0000773,Vasopressin V1b receptor,AVPR1B,Humans
113,DB00036,Coagulation factor VIIa Recombinant Human,['approved'],BE0000216,Coagulation factor X,F10,Humans
114,DB00036,Coagulation factor VIIa Recombinant Human,['approved'],BE0001178,Tissue factor,F3,Humans
115,DB00036,Coagulation factor VIIa Recombinant Human,['approved'],BE0000967,Tissue factor pathway inhibitor,TFPI,Humans
116,DB00036,Coagulation factor VIIa Recombinant Human,['approved'],BE0000403,Vitamin K-dependent gamma-carboxylase,GGCX,Humans
117,DB00036,Coagulation factor VIIa Recombinant Human,['approved'],BE0000333,Coagulation factor VII,F7,Humans
118,DB00038,Oprelvekin,"['approved', 'investigational']",BE0000416,Interleukin-11 receptor subunit alpha,IL11RA,Humans
119,DB00039,Palifermin,['approved'],BE0000748,Fibroblast growth factor receptor 2,FGFR2,Humans
120,DB00039,Palifermin,['approved'],BE0002131,Fibroblast growth factor receptor 1,FGFR1,Humans
121,DB00039,Palifermin,['approved'],BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,Humans
122,DB00040,Glucagon,['approved'],BE0000527,Glucagon receptor,GCGR,Humans
123,DB00040,Glucagon,['approved'],BE0002134,Glucagon-like peptide 2 receptor,GLP2R,Humans
124,DB00040,Glucagon,['approved'],BE0000857,Glucagon-like peptide 1 receptor,GLP1R,Humans
125,DB00041,Aldesleukin,['approved'],BE0000651,Interleukin-2 receptor subunit beta,IL2RB,Humans
126,DB00041,Aldesleukin,['approved'],BE0000658,Interleukin-2 receptor subunit alpha,IL2RA,Humans
127,DB00041,Aldesleukin,['approved'],BE0002102,Cytokine receptor common subunit gamma,IL2RG,Humans
128,DB00042,Botulinum toxin type B,"['approved', 'investigational']",BE0002137,Vesicle-associated membrane protein 2,VAMP2,Humans
129,DB00042,Botulinum toxin type B,"['approved', 'investigational']",BE0002136,Vesicle-associated membrane protein 1,VAMP1,Humans
130,DB00042,Botulinum toxin type B,"['approved', 'investigational']",BE0002138,Synaptotagmin-2,SYT2,Humans
131,DB00043,Omalizumab,"['approved', 'investigational']",BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,Humans
132,DB00043,Omalizumab,"['approved', 'investigational']",BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,MS4A2,Humans
133,DB00044,Lutropin alfa,['approved'],BE0000134,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
134,DB00045,Lyme disease vaccine (recombinant OspA),"['approved', 'withdrawn']",BE0001164,Toll-like receptor 2,TLR2,Humans
135,DB00046,Insulin lispro,['approved'],BE0000033,Insulin receptor,INSR,Humans
136,DB00046,Insulin lispro,['approved'],BE0000858,Insulin-like growth factor 1 receptor,IGF1R,Humans
137,DB00047,Insulin glargine,['approved'],BE0000033,Insulin receptor,INSR,Humans
138,DB00047,Insulin glargine,['approved'],BE0000858,Insulin-like growth factor 1 receptor,IGF1R,Humans
139,DB00048,Collagenase clostridium histolyticum,"['approved', 'investigational']",BE0000025,Collagen alpha-1(I) chain,COL1A1,Humans
140,DB00048,Collagenase clostridium histolyticum,"['approved', 'investigational']",BE0002140,Collagen alpha-1(II) chain,COL2A1,Humans
141,DB00048,Collagenase clostridium histolyticum,"['approved', 'investigational']",BE0002130,Collagen alpha-1(III) chain,COL3A1,Humans
143,DB00050,Cetrorelix,"['approved', 'investigational']",BE0000203,Gonadotropin-releasing hormone receptor,GNRHR,Humans
144,DB00050,Cetrorelix,"['approved', 'investigational']",BE0000134,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
145,DB00051,Adalimumab,"['approved', 'experimental']",BE0000704,Tumor necrosis factor,TNF,Humans
146,DB00052,Somatotropin,"['approved', 'investigational']",BE0000075,Growth hormone receptor,GHR,Humans
147,DB00052,Somatotropin,"['approved', 'investigational']",BE0000345,Prolactin receptor,PRLR,Humans
149,DB00054,Abciximab,['approved'],BE0001155,Integrin beta-3,ITGB3,Humans
150,DB00054,Abciximab,['approved'],BE0000439,Integrin alpha-IIb,ITGA2B,Humans
151,DB00054,Abciximab,['approved'],BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
152,DB00054,Abciximab,['approved'],BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
153,DB00054,Abciximab,['approved'],BE0001068,Vitronectin,VTN,Humans
154,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0000016,Coagulation factor VIII,F8,Humans
155,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0000041,Coagulation factor V,F5,Humans
156,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0000240,Plasminogen activator inhibitor 1,SERPINE1,Humans
157,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0001151,Thrombomodulin,THBD,Humans
158,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0000943,Vitamin K-dependent protein S,PROS1,Humans
159,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0000048,Prothrombin,F2,Humans
160,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0001129,Platelet factor 4,PF4,Humans
161,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0002112,Plasma serine protease inhibitor,SERPINA5,Humans
162,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0002142,Serpin B6,SERPINB6,Humans
163,DB00055,Drotrecogin alfa,"['approved', 'investigational', 'withdrawn']",BE0001161,Endothelial protein C receptor,PROCR,Humans
164,DB00056,Gemtuzumab ozogamicin,"['approved', 'investigational']",BE0000674,Myeloid cell surface antigen CD33,CD33,Humans
165,DB00056,Gemtuzumab ozogamicin,"['approved', 'investigational']",BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
166,DB00056,Gemtuzumab ozogamicin,"['approved', 'investigational']",BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
167,DB00056,Gemtuzumab ozogamicin,"['approved', 'investigational']",BE0000710,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
169,DB00058,Alpha-1-proteinase inhibitor,['approved'],BE0000394,Neutrophil elastase,ELANE,Humans
171,DB00060,Interferon beta-1a,"['approved', 'investigational']",BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
172,DB00060,Interferon beta-1a,"['approved', 'investigational']",BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
174,DB00061,Pegademase,['approved'],BE0000917,Growth factor receptor-bound protein 2,GRB2,Humans
176,DB00063,Eptifibatide,"['approved', 'investigational']",BE0001155,Integrin beta-3,ITGB3,Humans
177,DB00063,Eptifibatide,"['approved', 'investigational']",BE0009351,Voltage-dependent N-type calcium channel,CACNA1B,Humans
178,DB00065,Infliximab,['approved'],BE0000704,Tumor necrosis factor,TNF,Humans
179,DB00066,Follitropin,['approved'],BE0000387,Follicle-stimulating hormone receptor,FSHR,Humans
180,DB00067,Vasopressin,['approved'],BE0000293,Vasopressin V2 receptor,AVPR2,Humans
181,DB00067,Vasopressin,['approved'],BE0000165,Vasopressin V1a receptor,AVPR1A,Humans
182,DB00067,Vasopressin,['approved'],BE0000773,Vasopressin V1b receptor,AVPR1B,Humans
183,DB00067,Vasopressin,['approved'],BE0000844,Oxytocin receptor,OXTR,Humans
184,DB00068,Interferon beta-1b,['approved'],BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
185,DB00068,Interferon beta-1b,['approved'],BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
186,DB00069,Interferon alfacon-1,"['approved', 'investigational']",BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
187,DB00069,Interferon alfacon-1,"['approved', 'investigational']",BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
189,DB00070,Hyaluronidase (ovine),"['approved', 'investigational']",BE0000984,Transforming growth factor beta-1,TGFB1,Humans
190,DB00071,Insulin pork,['approved'],BE0000033,Insulin receptor,INSR,Humans
191,DB00071,Insulin pork,['approved'],BE0000858,Insulin-like growth factor 1 receptor,IGF1R,Humans
192,DB00072,Trastuzumab,"['approved', 'investigational']",BE0000511,Receptor tyrosine-protein kinase erbB-2,ERBB2,Humans
193,DB00073,Rituximab,['approved'],BE0000066,B-lymphocyte antigen CD20,MS4A1,Humans
194,DB00074,Basiliximab,"['approved', 'investigational']",BE0000658,Interleukin-2 receptor subunit alpha,IL2RA,Humans
195,DB00074,Basiliximab,"['approved', 'investigational']",BE0000651,Interleukin-2 receptor subunit beta,IL2RB,Humans
196,DB00075,Muromonab,"['approved', 'investigational']",BE0003456,T-cell surface glycoprotein CD3 delta chain,CD3D,Humans
197,DB00075,Muromonab,"['approved', 'investigational']",BE0000274,T-cell surface glycoprotein CD3 epsilon chain,CD3E,Humans
198,DB00075,Muromonab,"['approved', 'investigational']",BE0003457,T-cell surface glycoprotein CD3 gamma chain,CD3G,Humans
199,DB00075,Muromonab,"['approved', 'investigational']",BE0003458,T-cell surface glycoprotein CD3 zeta chain,CD247,Humans
200,DB00075,Muromonab,"['approved', 'investigational']",BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
202,DB00078,Ibritumomab tiuxetan,"['approved', 'investigational']",BE0000066,B-lymphocyte antigen CD20,MS4A1,Humans
204,DB00081,Tositumomab,"['approved', 'investigational']",BE0000066,B-lymphocyte antigen CD20,MS4A1,Humans
205,DB00081,Tositumomab,"['approved', 'investigational']",BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
206,DB00082,Pegvisomant,['approved'],BE0000075,Growth hormone receptor,GHR,Humans
207,DB00083,Botulinum toxin type A,"['approved', 'investigational']",BE0000390,Synaptosomal-associated protein 25,SNAP25,Humans
208,DB00083,Botulinum toxin type A,"['approved', 'investigational']",BE0003572,Rho-related GTP-binding protein RhoB,RHOB,Humans
212,DB00086,Streptokinase,"['approved', 'investigational']",BE0000211,Plasminogen,PLG,Humans
213,DB00086,Streptokinase,"['approved', 'investigational']",BE0000928,Proteinase-activated receptor 1,F2R,Humans
214,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0000083,CAMPATH-1 antigen,CD52,Humans
215,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
216,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
217,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0000710,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
218,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
219,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
220,DB00087,Alemtuzumab,"['approved', 'investigational']",BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Humans
222,DB00089,Capromab pendetide,['approved'],BE0000568,Glutamate carboxypeptidase 2,FOLH1,Humans
224,DB00091,Cyclosporine,"['approved', 'investigational', 'vet_approved']",BE0000379,Calcium signal-modulating cyclophilin ligand,CAMLG,Humans
225,DB00091,Cyclosporine,"['approved', 'investigational', 'vet_approved']",BE0002143,Calcineurin subunit B type 2,PPP3R2,Humans
226,DB00091,Cyclosporine,"['approved', 'investigational', 'vet_approved']",BE0001014,Peptidyl-prolyl cis-trans isomerase A,PPIA,Humans
227,DB00091,Cyclosporine,"['approved', 'investigational', 'vet_approved']",BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,Humans
228,DB00092,Alefacept,"['approved', 'investigational', 'withdrawn']",BE0000719,T-cell surface antigen CD2,CD2,Humans
229,DB00092,Alefacept,"['approved', 'investigational', 'withdrawn']",BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
230,DB00092,Alefacept,"['approved', 'investigational', 'withdrawn']",BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
231,DB00093,Felypressin,['experimental'],BE0000165,Vasopressin V1a receptor,AVPR1A,Humans
232,DB00094,Urofollitropin,"['approved', 'vet_approved']",BE0000387,Follicle-stimulating hormone receptor,FSHR,Humans
233,DB00095,Efalizumab,"['approved', 'investigational', 'withdrawn']",BE0009967,Integrin alpha-X,ITGAX,Humans
234,DB00095,Efalizumab,"['approved', 'investigational', 'withdrawn']",BE0000516,Integrin alpha-L,ITGAL,Humans
235,DB00097,Choriogonadotropin alfa,['approved'],BE0000134,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
236,DB00097,Choriogonadotropin alfa,['approved'],BE0000387,Follicle-stimulating hormone receptor,FSHR,Humans
237,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0003573,Major histocompatibility complex class I-related gene protein,MR1,Humans
238,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0000516,Integrin alpha-L,ITGAL,Humans
239,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0000846,T-lymphocyte activation antigen CD86,CD86,Humans
240,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
241,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0003488,T-cell surface glycoprotein CD4,CD4,Humans
242,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0003575,Integrin beta-1,ITGB1,Humans
243,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0003576,Integrin alpha-V,ITGAV,Humans
244,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0001155,Integrin beta-3,ITGB3,Humans
245,DB00098,Antithymocyte immunoglobulin (rabbit),['approved'],BE0000598,T-cell surface glycoprotein CD1a,CD1A,Humans
246,DB00099,Filgrastim,['approved'],BE0000793,Granulocyte colony-stimulating factor receptor,CSF3R,Humans
247,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0000216,Coagulation factor X,F10,Humans
248,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0001021,Coagulation factor XI,F11,Humans
249,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0000333,Coagulation factor VII,F7,Humans
250,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0000016,Coagulation factor VIII,F8,Humans
251,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0000048,Prothrombin,F2,Humans
252,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0002110,Prolow-density lipoprotein receptor-related protein 1,LRP1,Humans
253,DB00100,Coagulation Factor IX (Recombinant),"['approved', 'investigational']",BE0000403,Vitamin K-dependent gamma-carboxylase,GGCX,Humans
