,drug_name,drugbank_id,MeSH_id,DrugType,Class,Rheumatoid_Arthritis,Asthma,Multiple_sclerosis
48,(2-AMINO-3-PHENYL-BICYCLO[2.2.1]HEPT-2-YL)-PHENYL-METHANONE,DB07883,#N/A,['experimental'],0,0,0,0
49,(2-BROMOETHYL)(2-'FORMYL-4'-AMINOPHENYL) ACETATE,DB07955,#N/A,['experimental'],0,0,0,0
50,(2-CARBAMOYLMETHYL-5-PROPYL-OCTAHYDRO-INDOL-7-YL)ACETIC ACID,DB07958,#N/A,['experimental'],0,0,0,0
51,(2-{[(4-BROMO-2-FLUOROBENZYL)AMINO]CARBONYL}-5-CHLOROPHENOXY)ACETIC ACID,DB07028,#N/A,['experimental'],0,0,0,0
52,"(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRIAZA-CYCLOOCTADECOSINE-9-CARBONITRILE",DB08674,#N/A,['experimental'],0,0,0,0
53,"(20S)-19,20,22,23-TETRAHYDRO-19-OXO-5H,21H-18,20-ETHANO-12,14-ETHENO-6,10-METHENOBENZ[D]IMIDAZO[4,3-L][1,6,9,13]OXATRIAZACYCLONOADECOSINE-9-CARBONITRILE",DB08676,#N/A,['experimental'],0,0,0,0
54,"(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE",DB08520,#N/A,['experimental'],0,0,0,0
55,(2E)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,DB07500,#N/A,['experimental'],0,0,0,0
56,(2E)-3-(2-OCT-1-YN-1-YLPHENYL)ACRYLIC ACID,DB08492,#N/A,['experimental'],0,0,0,0
57,"(2E)-3-(3,4-DIHYDROXYPHENYL)-2-IMINOPROPANOIC ACID",DB07979,#N/A,['experimental'],0,0,0,0
58,(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide,DB07350,#N/A,['experimental'],0,0,0,0
59,(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,DB08564,#N/A,['experimental'],0,0,0,0
60,"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",DB03583,#N/A,['experimental'],0,0,0,0
61,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID",DB08175,#N/A,['experimental'],0,0,0,0
62,(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID,DB04590,#N/A,['experimental'],0,0,0,0
63,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",DB07129,#N/A,['experimental'],0,0,0,0
64,(2R)-1-(DIMETHYLAMINO)-3-{4-[(6-{[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-4-YL)AMINO]PHENOXY}PROPAN-2-OL,DB07054,#N/A,['experimental'],0,0,0,0
65,(2R)-1-[(4-tert-butylphenyl)sulfonyl]-2-methyl-4-(4-nitrophenyl)piperazine,DB07049,#N/A,['experimental'],0,0,0,0
66,"(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL",DB07647,#N/A,['experimental'],0,0,0,0
67,"(2R)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07750,#N/A,['experimental'],0,0,0,0
68,"(2R)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07761,#N/A,['experimental'],0,0,0,0
69,(2R)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,DB07504,#N/A,['experimental'],0,0,0,0
70,(2R)-2-(3-Biphenylyl)-N-{(2R)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide,DB04244,#N/A,['experimental'],0,0,0,0
71,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,DB07860,#N/A,['experimental'],0,0,0,0
72,(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,DB07857,#N/A,['experimental'],0,0,0,0
73,(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE,DB07211,#N/A,['experimental'],0,0,0,0
74,(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,DB04776,#N/A,['experimental'],0,0,0,0
75,(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol,DB08463,#N/A,['experimental'],0,0,0,0
76,"(2R)-2-AMINO-3,3,3-TRIFLUORO-N-HYDROXY-2-{[(4-PHENOXYPHENYL)SULFONYL]METHYL}PROPANAMIDE",DB07246,#N/A,['experimental'],0,0,0,0
77,(2R)-2-Acetamido-3-(octadecyloxy)propyl 2-(methylsulfanyl)ethyl hydrogen phosphate,DB04112,#N/A,['experimental'],0,0,0,0
78,(2R)-2-benzyl-3-nitropropanoic acid,DB06924,#N/A,['experimental'],0,0,0,0
79,"(2R)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",DB08285,#N/A,['experimental'],0,0,0,0
80,(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate,DB07592,#N/A,['experimental'],0,0,0,0
81,"(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL",DB07648,#N/A,['experimental'],0,0,0,0
82,(2R)-3-{[(BENZYLAMINO)CARBONYL]AMINO}-2-HYDROXYPROPANOIC ACID,DB08007,#N/A,['experimental'],0,0,0,0
83,"(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE",DB04683,#N/A,['experimental'],0,0,0,0
84,"(2R)-4,4-dihydroxy-5-nitro-2-(phenylmethyl)pentanoic acid",DB07484,#N/A,['experimental'],0,0,0,0
85,"(2R)-4-(2-BENZOYL-1,2-DIAZEPAN-1-YL)-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE",DB08051,#N/A,['experimental'],0,0,0,0
86,"(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE",DB07081,#N/A,['experimental'],0,0,0,0
87,(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,DB07145,#N/A,['experimental'],0,0,0,0
88,(2R)-N-[(2R)-2-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-N-[(5R)-5-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-L-PROLINAMIDE,DB07482,#N/A,['experimental'],0,0,0,0
89,"(2R)-N-{4-[Ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",DB08609,#N/A,['experimental'],0,0,0,0
90,"(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide",DB06837,#N/A,['experimental'],0,0,0,0
91,"(2R,3R)-2,3-Dihydroxy-4-oxo-4-(propylamino)butanoic acid",DB03390,#N/A,['experimental'],0,0,0,0
92,"(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine",DB07193,#N/A,['experimental'],0,0,0,0
93,"(2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE",DB08733,#N/A,['experimental'],0,0,0,0
94,"(2R,3R,4R,5S)-2-(HYDROXYMETHYL)-1-NONYLPIPERIDINE-3,4,5-TRIOL",DB08283,#N/A,['experimental'],0,0,0,0
95,"(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL",DB07567,#N/A,['experimental'],0,0,0,0
96,"(2R,3R,4S,5R)-2-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",DB07045,#N/A,['experimental'],0,0,0,0
97,"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",DB03861,#N/A,['experimental'],0,0,0,0
98,"(2R,3R,4S,5R,6E)-3,4,5-Trihydroxy-N-[(3S,6R)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide",DB03396,#N/A,['experimental'],0,0,0,0
99,"(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",DB08642,#N/A,['experimental'],0,0,0,0
100,(2S) N-acetyl-L-alanyl-?L-phenylalanyl-chloroethylketone,DB07899,#N/A,['experimental'],0,0,0,0
101,"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",DB08022,#N/A,['experimental'],0,0,0,0
102,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,DB08073,#N/A,['experimental'],0,0,0,0
103,"(2S)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",DB07573,#N/A,['experimental'],0,0,0,0
104,(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,DB06959,#N/A,['experimental'],0,0,0,0
105,"(2S)-1-(6H-INDOL-3-YL)-3-{[5-(7H-PYRAZOLO[3,4-C]PYRIDIN-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE",DB07124,#N/A,['experimental'],0,0,0,0
106,"(2S)-1-(Dimethylamino)-3-(4-{[4-(2-methylimidazo[1,2-a]pyridin-3-yl)-2-pyrimidinyl]amino}phenoxy)-2-propanol",DB07889,#N/A,['experimental'],0,0,0,0
107,(2S)-1-AMINO-3-[(5-NITROQUINOLIN-8-YL)AMINO]PROPAN-2-OL,DB07037,#N/A,['experimental'],0,0,0,0
108,"(2S)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07755,#N/A,['experimental'],0,0,0,0
109,"(2S)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07751,#N/A,['experimental'],0,0,0,0
110,(2S)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,DB07501,#N/A,['experimental'],0,0,0,0
111,(2S)-1-{[5-(1H-Indazol-5-yl)-3-pyridinyl]oxy}-3-(7aH-indol-3-yl)-2-propanamine,DB06977,#N/A,['experimental'],0,0,0,0
112,(2S)-2-(1H-indol-3-yl)hexanoic acid,DB06980,#N/A,['experimental'],0,0,0,0
113,(2S)-2-(1H-indol-3-yl)pentanoic acid,DB06981,#N/A,['experimental'],0,0,0,0
114,(2S)-2-(3-Carbamimidamidophenyl)-3-[hydroxy(3-phenylpropyl)phosphoryl]propanoic acid,DB07182,#N/A,['experimental'],0,0,0,0
115,"(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one",DB08236,#N/A,['experimental'],0,0,0,0
116,(2S)-2-(4-chlorophenoxy)-3-phenylpropanoic acid,DB08760,#N/A,['experimental'],0,0,0,0
117,(2S)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,DB07858,#N/A,['experimental'],0,0,0,0
118,(2S)-2-(4-ethylphenoxy)-3-phenylpropanoic acid,DB07842,#N/A,['experimental'],0,0,0,0
119,(2S)-2-(BUTYRYLOXY)-3-HYDROXYPROPYL NONANOATE,DB07416,#N/A,['experimental'],0,0,0,0
120,(2S)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid,DB08121,#N/A,['experimental'],0,0,0,0
121,(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol,DB07379,#N/A,['experimental'],0,0,0,0
122,"(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate",DB03319,#N/A,['experimental'],0,0,0,0
123,(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID,DB07675,#N/A,['experimental'],0,0,0,0
124,(2S)-2-HYDROXYOCTANOIC ACID,DB07907,#N/A,['experimental'],0,0,0,0
125,(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-[(R)-HYDROXY{(1R)-2-METHYL-1-[(PHENYLSULFONYL)AMINO]PROPYL}PHOSPHORYL]PROPANOIC ACID,DB06921,#N/A,['experimental'],0,0,0,0
126,(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-[(R)-[(1R)-1-{[(BENZYLOXY)CARBONYL]AMINO}-2-METHYLPROPYL](HYDROXY)PHOSPHORYL]PROPANOIC ACID,DB07269,#N/A,['experimental'],0,0,0,0
127,(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-{(S)-HYDROXY[(1R)-2-METHYL-1-{[(2-PHENYLETHYL)SULFONYL]AMINO}PROPYL]PHOSPHORYL}PROPANOIC ACID,DB06835,#N/A,['experimental'],0,0,0,0
128,(2S)-2-amino-5-oxo-5-[(4-phenylmethoxyphenyl)amino]pentanoic acid,DB07102,#N/A,['experimental'],0,0,0,0
129,(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,DB07422,#N/A,['experimental'],0,0,0,0
130,"(2S)-2-methyl-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine",DB07003,#N/A,['experimental'],0,0,0,0
131,(2S)-2-{3-[({[2-fluoro-4-(trifluoromethyl)phenyl]carbonyl}amino)methyl]-4-methoxybenzyl}butanoic acid,DB07070,#N/A,['experimental'],0,0,0,0
132,"(2S)-2-{[3-(3-aminophenyl)imidazo[1,2-b]pyridazin-6-yl]amino}-3-methylbutan-1-ol",DB08004,#N/A,['experimental'],0,0,0,0
133,(2S)-2-{[HYDROXY(4-IODOBENZYL)PHOSPHORYL]METHYL}PENTANEDIOIC ACID,DB06928,#N/A,['experimental'],0,0,0,0
134,"(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID",DB06908,#N/A,['experimental'],0,0,0,0
135,(2S)-3-[(R)-[(1S)-1-amino-3-phenylpropyl](hydroxy)phosphoryl]-2-benzylpropanoic acid,DB07448,#N/A,['experimental'],0,0,0,0
136,"(2S)-4-(2,5-DIFLUOROPHENYL)-N,N-DIMETHYL-2-PHENYL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE",DB08246,#N/A,['experimental'],0,0,0,0
137,"(2S)-4-(2,5-DIFLUOROPHENYL)-N-METHYL-2-PHENYL-N-PIPERIDIN-4-YL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE",DB08239,#N/A,['experimental'],0,0,0,0
138,(2S)-4-(4-fluorobenzyl)-N-(2-sulfanylethyl)piperazine-2-carboxamide,DB07736,#N/A,['experimental'],0,0,0,0
139,(2S)-4-(4-fluorobenzyl)-N-(3-sulfanylpropyl)piperazine-2-carboxamide,DB07737,#N/A,['experimental'],0,0,0,0
140,(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE,DB07627,#N/A,['experimental'],0,0,0,0
141,"(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE",DB07113,#N/A,['experimental'],0,0,0,0
142,(2S)-8-[(tert-butoxycarbonyl)amino]-2-(1H-indol-3-yl)octanoic acid,DB06982,#N/A,['experimental'],0,0,0,0
143,(2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide,DB07039,#N/A,['experimental'],0,0,0,0
144,(2S)-N-[(3E)-5-Cyclopropyl-3H-pyrazol-3-ylidene]-2-[4-(2-oxo-1-imidazolidinyl)phenyl]propanamide,DB07137,#N/A,['experimental'],0,0,0,0
145,"(2S)-N-[(3S)-1-(2-AMINO-2-OXOETHYL)-2-OXO-1,2,3,4-TETRAHYDROQUINOLIN-3-YL]-2-CHLORO-2H-THIENO[2,3-B]PYRROLE-5-CARBOXAMIDE",DB07793,#N/A,['experimental'],0,0,0,0
146,"(2S,3R)-2-[[4-(Tert-butylcarbamoyl)piperazine-1-carbonyl]amino]-6-(diaminomethylideneamino)-3-formylhexanoic acid",DB03417,#N/A,['experimental'],0,0,0,0
147,"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",DB07711,#N/A,['experimental'],0,0,0,0
